Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
TD-103,11/8,08:47,AVL,148,39.756426,-121.571397,TD,TD,FRH: Cancer center catches fire,C,,
VTD-17,11/8,08:47,TD,3,39.756884,-121.568212,video,video,smoke coming from behind hospital,V,,
TD-005,11/8,08:48,AVL,0,39.755324,-121.570642,AVL,TD,house at end of street 50 % involved,R,,
PPD-04,11/8,08:53,PPD-04,5,39.755718,-121.569681,video,video,"intense fire activity, possible structure involved",O,,
TD-103,11/8,09:00,Photo,0,39.755455,-121.571546,Photo,Photo,"fence and vegetation burning, threatening structure",O,,
TD-020,11/8,09:02,Inferred,0,39.757028,-121.571208,TD,TD,ember cast,O,,
911-208-1,11/8,09:02,911-208-1,0,39.757023,-121.571290,911-208-1,911-208-1,fire alarm,C,,
911-210-1,11/8,09:04,911-210-1,0,39.758893,-121.570887,911-210-1,911-210-1,fire alarm,C,,
VTD-17,11/8,09:05,TD,0,39.758293,-121.571793,video,video,light embers start trickling down,O,,
VTD-17,11/8,09:05,Inferred,9,39.755064,-121.572370,video,video,fire burning on west side Pentz Rd,V,,
PPD-05,11/8,09:05,PPD-05,0,39.757758,-121.571137,video,video,light ember cast blowing from the west,O,,
PPD-05,11/8,09:08,PPD-05,2,39.757758,-121.571137,video,video,"heavy ember shower, embers exploding and skittering across pavement",O,,
PPD-05,11/8,09:09,PPD-05,0,39.757834,-121.571099,video,video,multiple spot fire ignition in mulch,S,,
PPD-05,11/8,09:12,PPD-05,0,39.757892,-121.571664,video,Radio,"FRH: firestorm, fire threatening all around all the buildings including gas tanks and oxygen",O,,
TD-090,11/8,09:15,AVL,7,39.757795,-121.572302,AVL,TD,fire on the west side of Pentz Rd by the hospital,V,,
TD-016,11/8,09:15,Inferred,192,39.757568,-121.570270,TD,TD,FRH: attic fire in structure,C,,
VTD-17,11/8,09:15,Inferred,8,39.756180,-121.572572,video,video,surface fire burning all of west side of Pentz Rd at southern hospital driveway,V,,
TD-109,11/8,09:17,AVL,45,39.756683,-121.570967,AVL,TD,FRH: HVAC is on fire,C,,
PPD-05,11/8,09:19,PPD-05,0,39.757895,-121.572366,video,Radio,fire has jumped westbound from our location,O,,
PPD-05,11/8,09:19,PPD-05,0,39.757655,-121.572453,video,video,spot fire on west side Pentz Rd,S,,
PPD-05,11/8,09:20,PPD-05,0,39.756074,-121.572333,video,video,Pentz Rd is inaccessible due to fire and fire engine activity south of hospital,O,,
TD-124,11/8,09:22,AVL,81,39.757193,-121.570698,AVL,TD,FRH: passage connecting two buildings is 1/4 involved,C,,
PPD-05,11/8,09:23,PPD-05,0,39.758015,-121.572137,video,video,spot fire,S,,
TD-124,11/8,09:31,AVL,6,39.757258,-121.570255,AVL,TD,FRH: fire in corner in the eaves and gutters; landscaping is on fire,C,,
PPD-05,11/8,09:32,PPD-05,0,39.757756,-121.572212,video,video,spot fire,S,,
TD-014,11/8,09:33,Radio Log,0,39.758933,-121.572683,AVL,Radio Log,fire has burned past hospital,O,,
PPD-05,11/8,09:33,PPD-05,0,39.758749,-121.571922,video,video,"detached garage burning good, past peak",R,,
PPD-05,11/8,09:36,PPD-05,0,39.757860,-121.571753,video,video,multiple spot fires igniting in vegetation all around parking lot,S,,
PPD-05,11/8,09:37,PPD-05,0,39.757926,-121.571072,video,video,FRH: HVAC support building flames showing from second story,C,,
TD-124,11/8,09:38,AVL,4,39.757917,-121.570564,AVL,TD,FRH: dumpsters on fire,O,,
TD-020,11/8,09:38,AVL TD-124,4,39.757952,-121.570552,TD,TD,FRH: fire in dumpster,O,,
TD-005,11/8,09:43,Photo,34,39.756577,-121.572070,AVL,TD,FRH: One section of fence on fire; small spot fire against building in alcoves of Birth Day Place,O,,
TD-020,11/8,09:43,TD-005,34,39.756672,-121.571922,TD,TD,FRH: fence and patio at hospital Birth Day Place burning,O,,
TD-005,11/8,09:44,Photo,0,39.756763,-121.571943,Photo,Photo,"active fire in vegetation, torching juniper trees against Birth Day Place, spewing firebrands",V,,
TD-103,11/8,09:55,Photo,0,39.755630,-121.571731,Photo,Photo,"structure fully involved; interior fire, flames through roof; roof partially collapsed",C,,
PPD-05,11/8,09:57,PPD-05,0,39.756385,-121.572306,video,video,FRH: steady stream of explosions around the hospital,O,,
TD-020,11/8,10:05,TD-124,30,39.756420,-121.571413,TD,TD,FRH: fire at cancer center,C,,
TD-124,11/8,10:07,AVL,27,39.756409,-121.571416,AVL,TD,FRH: fire in attic/ceiling of cancer building,C,,
TD-109,11/8,10:13,AVL,76,39.761656,-121.568042,AVL,TD,homes on south side of retirement home are involved,R,,
TD-109,11/8,10:13,AVL,76,39.762085,-121.568911,AVL,TD,fire threatening structures,O,,
TD-020,11/8,10:15,AVL TD-109,75,39.762061,-121.568979,TD,TD,small fire on roof of main care facility of Canyon View Dr,C,,
TD-005,11/8,10:20,AVL,32,39.762063,-121.568917,AVL,TD,"Bark mulch against building on fire; OSB under vinyl just ignited, rapid fire growth",R,,
TD-103,11/8,10:20,Photo,0,39.755630,-121.571731,Photo,Photo,"building past peak, mostly collapsed; vehicle burning",C,,
TD-005,11/8,10:38,Photo,0,39.761630,-121.568072,Photo,Photo,"all condos burned to foundation, burned down already",R,x,
TD-005,11/8,10:38,Photo,0,39.761568,-121.567984,Photo,Photo,"Canyon View Dr detached homes are all burned to foundation, some active flaming",R,x,
TD-005,11/8,10:39,Photo,0,39.761568,-121.567984,Photo,Photo,"Canyon View Dr detached homes are all burned to foundation, some active flaming",R,x,
TD-005,11/8,10:52,video,3,39.760983,-121.568917,video,video,building burning out of eaves and under structure,C,,
TD-005,11/8,10:55,Photo,0,39.760248,-121.569305,Photo,Photo,FRH: multiple auxiliary hospital buildings are burning,C,,
TD-103,11/8,11:14,Photo,0,39.755255,-121.571109,Photo,Photo,structure fully involved,R,,
TD-103,11/8,11:15,Photo,0,39.755255,-121.571109,Photo,Photo,structure fully involved,R,,
TD-111,11/8,11:19,Inferred,31,39.757874,-121.570428,TD,TD,FRH: lower portion of hospital on fire,C,,
TD-069,11/8,11:22,Inferred,118,39.757641,-121.570452,TD,TD,FRH: lower hospital building is on fire,C,,
TD-005,11/8,11:29,AVL,1036,39.757529,-121.570494,TD,TD,"FRH: attic fire getting established, everything around hospital on fire now",C,,
TD-109,11/8,11:30,AVL,414,39.757557,-121.570446,AVL,TD,FRH: fire in roof of cardiology center; fire flaring up through roof trenches,C,,
TD-103,11/8,11:43,Photo,0,39.757697,-121.570238,Photo,Photo,FRH: heavy smoke from outpatient wing of hospital,C,,
TD-103,11/8,11:43,AVL,64,39.756622,-121.569851,AVL,TD,FRH: see smoke in attic; patient room on fire,C,,
TD-103,11/8,11:43,Photo,0,39.757691,-121.570134,Photo,Photo,FRH: heavy smoke from cardiology wing,C,,
TD-103,11/8,12:01,Photo,0,39.756641,-121.569861,Photo,Photo,"FRH: fire in Family Health Center is out, some damage to exam room, exterior wall",C,x,
TD-020,11/8,12:47,Radio Log,0,39.757701,-121.570451,TD,TD,FRH: fire in wing of hospital; building smoking,C,,
TD-103,11/8,12:55,AVL,614,39.757525,-121.570484,AVL,TD,"FRH: wind directed straight down hallway, would flare up trench cuts in roof",C,,
TD-014,11/8,13:24,Radio Log,0,39.758244,-121.571631,AVL,Radio Log,FRH: fire at the hospital threatening main building,C,,
TD-014,11/8,13:36,Radio Log,0,39.758244,-121.571631,AVL,Radio Log,"FRH: hospital building well involved, beginning to threaten the main hospital",C,,
TD-130,11/8,13:46,Photo,0,39.757240,-121.572800,Photo,Photo,structure fully involved,C,,
TD-130,11/8,13:46,Photo,0,39.757959,-121.572638,Photo,Photo,"active fire on parcel, collapsed structure",R,,
TD-130,11/8,13:46,Photo,0,39.757709,-121.570509,Photo,Photo,FRH: significant flames from roof of cardiology building,C,,
TD-130,11/8,13:46,Photo,0,39.757915,-121.569736,Photo,Photo,"FRH: surface fuels, a vehicle, a dumpster already consumed; no hot spots",O,x,
TD-130,11/8,13:49,video,0,39.756547,-121.572775,video,video,multiple structures fully involved west side of Pentz Rd at hospital,R,,
TD-112,11/8,13:50,Inferred,370,39.757455,-121.570619,TD,TD,FRH: hospital is well involved,C,,
TD-130,11/8,13:51,AVL,319,39.757572,-121.570474,TD,TD,FRH: building burning inside,C,,
TD-103,11/8,13:55,Photo,0,39.757639,-121.570544,Photo,Photo,FRH: portion of cardiology building fully involved; flames coming from trench cuts in the roof,C,,
TD-103,11/8,14:00,Photo,0,39.757606,-121.570566,Photo,Photo,FRH: flames coming from roof trenches of cardiology building,C,,
TD-103,11/8,14:07,Photo,0,39.757606,-121.570566,Photo,Photo,FRH: flames coming from roof trenches of cardiology building,C,,
TD-103,11/8,14:08,Photo,0,39.757606,-121.570566,Photo,Photo,FRH: flames coming from roof trenches of cardiology building,C,,
TD-055,11/8,15:00,TD,180,39.757641,-121.570478,TD,TD,FRH: building burning,C,,
TD-112,11/8,15:10,Photo,0,39.757671,-121.570531,Photo,Photo,FRH: cardiology building on fire; north wing is partially collapsed,C,,
TD-130,11/8,15:34,Photo,0,39.757743,-121.570617,Photo,Photo,FRH: cardiology burning,C,,
TD-130,11/8,15:34,Photo,0,39.757912,-121.571109,Photo,Photo,FRH: HVAC unit on roof flaming,O,,
TD-005,11/8,16:44,Photo,0,39.757705,-121.570434,Photo,Photo,"FRH: north portion of cardiology mostly burnt down, reduced fire activity",C,,
TD-005,11/8,16:57,Photo,0,39.757302,-121.570408,Photo,Photo,"FRH: cardiology, most fire activity on NW corner, burning in rubble",C,,
TD-055,11/8,17:49,Photo,0,39.757746,-121.570627,Photo,Photo,"FRH: cardiology partially collapsed, still flaming",C,x,
TD-055,11/8,17:50,Photo,0,39.757641,-121.570478,Photo,TD,"FRH: lower hospital building is still burning, burned down in sections",C,,
TD-103,11/8,18:26,Photo,0,39.757728,-121.570570,Photo,Photo,FRH: cardiology portion is flaming rubble,C,x,
TD-103,11/8,23:40,AVL,440,39.757995,-121.571050,AVL,TD,FRH: maintenance shed roof on fire,C,,
TD-103,11/8,23:40,AVL,440,39.757525,-121.570484,AVL,TD,FRH: interior fire threatening main building,C,,
TD-103,11/9,00:21,Photo,0,39.757891,-121.571183,Photo,Photo,FRH: hot spots inside cardiology building,C,x,
TD-103,11/9,07:10,AVL,257,39.757995,-121.571050,AVL,TD,FRH: maintenance shed roof on fire,C,,
